red ff0000  
green 00ff00  
blue 0000ff  
yellow ffff00  
pink ffc0cb  
teal 008080  
orange ffa500  
tan d2b48c  
brown 654321  
purple 800080  
black 000000  
grey 808080  
gray 808080  
white ffffff  
chartreuse 7fff00  
magenta ff00ff  
cyan 00ffff  
turquoise 30d5c8  
vermilion e34234  
vermillion e34234  
viridian 40826d  
gold ffd700 
silver c0c0c0 
bronze cd7f32 
peach ffe5b4 
jade 00a86b 
coffee 6f4e37 
indigo 4b0082 
violet ee82ee 
